set=cards -> results_cards/
bras=48 seeds=400 seatings=2 -> 38400 parties au total
déjà faites=35876 restantes=2524 workers=3
20/2524 parties · 0.2/s · ETA 3.96 h
80/2524 parties · 0.4/s · ETA 1.92 h
140/2524 parties · 0.4/s · ETA 1.60 h
200/2524 parties · 0.5/s · ETA 1.38 h
260/2524 parties · 0.5/s · ETA 1.26 h
320/2524 parties · 0.5/s · ETA 1.18 h
380/2524 parties · 0.5/s · ETA 1.10 h
440/2524 parties · 0.6/s · ETA 1.05 h
500/2524 parties · 0.6/s · ETA 0.99 h
560/2524 parties · 0.6/s · ETA 0.93 h
620/2524 parties · 0.6/s · ETA 0.89 h
680/2524 parties · 0.6/s · ETA 0.83 h
740/2524 parties · 0.6/s · ETA 0.79 h
800/2524 parties · 0.6/s · ETA 0.75 h
840/2524 parties · 0.6/s · ETA 0.72 h
860/2524 parties · 0.6/s · ETA 0.71 h
898/2524 parties · 0.7/s · ETA 0.69 h
938/2524 parties · 0.7/s · ETA 0.66 h
958/2524 parties · 0.7/s · ETA 0.66 h
1016/2524 parties · 0.7/s · ETA 0.62 h
1074/2524 parties · 0.7/s · ETA 0.59 h
1132/2524 parties · 0.7/s · ETA 0.56 h
1190/2524 parties · 0.7/s · ETA 0.53 h
1230/2524 parties · 0.7/s · ETA 0.51 h
1270/2524 parties · 0.7/s · ETA 0.49 h
1330/2524 parties · 0.7/s · ETA 0.45 h
1350/2524 parties · 0.7/s · ETA 0.45 h
1390/2524 parties · 0.7/s · ETA 0.43 h
1430/2524 parties · 0.7/s · ETA 0.41 h
1468/2524 parties · 0.7/s · ETA 0.40 h
1528/2524 parties · 0.8/s · ETA 0.37 h
1588/2524 parties · 0.8/s · ETA 0.34 h
1648/2524 parties · 0.8/s · ETA 0.32 h
1708/2524 parties · 0.8/s · ETA 0.29 h
1768/2524 parties · 0.8/s · ETA 0.27 h
1828/2524 parties · 0.8/s · ETA 0.24 h
1888/2524 parties · 0.8/s · ETA 0.22 h
1928/2524 parties · 0.8/s · ETA 0.20 h
1966/2524 parties · 0.8/s · ETA 0.19 h
2006/2524 parties · 0.8/s · ETA 0.18 h
2064/2524 parties · 0.8/s · ETA 0.16 h
2124/2524 parties · 0.8/s · ETA 0.13 h
2184/2524 parties · 0.8/s · ETA 0.11 h
2244/2524 parties · 0.8/s · ETA 0.09 h
2304/2524 parties · 0.9/s · ETA 0.07 h
2324/2524 parties · 0.9/s · ETA 0.06 h
2384/2524 parties · 0.9/s · ETA 0.04 h
2444/2524 parties · 0.9/s · ETA 0.03 h
2484/2524 parties · 0.9/s · ETA 0.01 h
FINI : 2524 parties en 0.79 h. Analyse : node calibration/analyze.mjs
