
##############################################################################
# PARTIE : TH (joueur 0) vs SM (joueur 1) — seed 3
# Résultat : SM gagne  ·  8 tours  ·  PV finaux TH -1 / SM 18
##############################################################################


T 1 ===== TH turn — th HP50 CP2 mjolnir:home | vs sm HP50 CP2 (hand 4)
   T 1 th | income        | Start Player skips their first Income Phase
   T 1 th | main1         | Played Triple Up! for 2 CP (drew 3)
   T 1 th | main1         | Mjolnir shuttle (discarded better-d): 1 isolated undefendable dmg
   T 1 th | roll          | Roll (relances restantes 2): [1,1,4,5,6]
   T 1 th | roll          | Roll (relances restantes 1): [1,4,5,6,6]
   T 1 th | roll          | Roll (relances restantes 0): [1,3,4,5,6]
   T 1 th | roll          | Final dice: 1,3,4,5,6
   T 1 th | resolveAttack | Chose ability: Lightning Rod (4-straight)
   T 1 th | resolveAttack | Lightning Rod: opponent has Mjolnir -> 9 dmg
   T 1 th | resolveAttack | Lightning Rod (4-straight): attack total 9 dmg
   T 1 sm | defense       | Defensive Ability: Spider-Sense (2 dice)
   T 1 sm | defense       | Defense dice: 4,2
   T 1 sm | defense       | Spider-Sense: prevented 0 (no success face), 0 dmg back
   T 1 th | endOfTurn     | HP: self=50, opp=40


T 2 ===== SM turn — sm HP40 CP2 | vs th HP50 CP0 mjolnir:away (hand 4)
   T 2 sm | income        | +1 CP, drew 1 card (hand=5)
   T 2 sm | main1         | Web Shooters!: Webbed inflicted (2 isolated undefendable dmg)
   T 2 sm | main1         | Played Triple Up! for 2 CP (drew 3)
   T 2 sm | roll          | Roll (relances restantes 2): [3,3,4,4,5]
   T 2 sm | roll          | Roll (relances restantes 1): [2,4,5,5,6]
   T 2 sm | roll          | Roll (relances restantes 0): [1,2,4,5,6]
   T 2 sm | roll          | Final dice: 1,2,4,5,6
   T 2 sm | resolveAttack | Chose ability: Spider-Reflexes (ABBC)
   T 2 sm | resolveAttack | Spider-Reflexes: rolled [3,1] -> 4 dmg
   T 2 sm | resolveAttack | Spider-Reflexes (total <= 5): gained Combo
   T 2 sm | resolveAttack | Spider-Reflexes (ABBC): attack total 4 dmg
   T 2 th | defense       | Webbed: incoming attack becomes UNDEFENDABLE, token removed
   T 2 sm | resolveAttack | Combo spent: additional Offensive Roll Phase
   T 2 sm | roll          | Roll (relances restantes 2): [4,5,5,6,6]
   T 2 sm | roll          | Roll (relances restantes 1): [4,6,6,6,6]
   T 2 sm | roll          | Roll (relances restantes 0): [6,6,6,6,6]
   T 2 sm | roll          | Final dice: 6,6,6,6,6
   T 2 sm | resolveAttack | Chose ability: Venom Shockwave (CCCCC)
   T 2 sm | resolveAttack | Venom Shockwave: gained Invisibility
   T 2 sm | resolveAttack | Venom Shockwave: Webbed inflicted (2 isolated undefendable dmg)
   T 2 sm | resolveAttack | Venom Shockwave (CCCCC): attack total 13 dmg (undefendable)
   T 2 sm | endOfTurn     | HP: self=40, opp=29


T 3 ===== TH turn — th HP29 CP0 mjolnir:away [webbed:1] | vs sm HP40 CP0 [invisibility:1] (hand 5)
   T 3 th | income        | +1 CP, drew 1 card (hand=6)
   T 3 th | main2         | Get That Outta Here!: removed webbed from p0
   T 3 th | roll          | Roll (relances restantes 2): [2,3,4,5,6]
   T 3 th | roll          | Roll (relances restantes 0): [2,3,4,5,6]
   T 3 th | roll          | Final dice: 2,3,4,5,6
   T 3 th | resolveAttack | Chose ability: Thunder Bolt (5-straight)
   T 3 th | resolveAttack | Thunder Bolt: Mjolnir x1 (0 throw = 0 dmg, 1 retrieve = +1 EK)
   T 3 th | resolveAttack | Thunder Bolt (5-straight): attack total 10 dmg
   T 3 sm | defense       | Defensive Ability: Spider-Sense (2 dice)
   T 3 sm | defense       | Spider-Sense: Invisibility spent -> additional Roll Attempt [4,4]
   T 3 sm | defense       | Defense dice: 4,4
   T 3 sm | defense       | Spider-Sense: prevented 0 (no success face), 0 dmg back
   T 3 th | main2         | Mjolnir shuttle (discarded helping-hand): 1 isolated undefendable dmg
   T 3 th | endOfTurn     | HP: self=29, opp=29


T 4 ===== SM turn — sm HP29 CP0 | vs th HP29 CP0 mjolnir:away [electrokinesis:3] (hand 6)
   T 4 sm | income        | +1 CP, drew 1 card (hand=7)
   T 4 sm | roll          | Roll (relances restantes 2): [1,1,2,6,6]
   T 4 sm | roll          | Roll (relances restantes 1): [1,1,3,6,6]
   T 4 sm | roll          | Roll (relances restantes 0): [1,1,6,6,6]
   T 4 sm | roll          | Final dice: 1,1,6,6,6
   T 4 sm | resolveAttack | Chose ability: C-C-C-Combo (AACC)
   T 4 sm | resolveAttack | C-C-C-Combo (AACC): attack total 5 dmg
   T 4 th | defense       | Defense dice: 1,5,1
   T 4 th | defense       | Thunder Wheel: prevented 2, 1 Mjolnir move(s), +0 EK
   T 4 sm | resolveAttack | C-C-C-Combo: gained Combo
   T 4 sm | resolveAttack | Combo spent: additional Offensive Roll Phase
   T 4 sm | roll          | Roll (relances restantes 2): [1,2,2,4,6]
   T 4 sm | roll          | Roll (relances restantes 1): [1,4,4,5,6]
   T 4 sm | roll          | Roll (relances restantes 0): [1,4,4,5,6]
   T 4 sm | roll          | Final dice: 1,4,4,5,6
   T 4 sm | resolveAttack | Chose ability: Spider-Reflexes (ABBC)
   T 4 sm | resolveAttack | Spider-Reflexes: rolled [5,5] -> 10 dmg
   T 4 sm | resolveAttack | Spider-Reflexes (ABBC): attack total 10 dmg
   T 4 th | defense       | Defense dice: 1,2,1
   T 4 th | defense       | Thunder Wheel: prevented 0, 1 Mjolnir move(s) (1 dmg back), +0 EK
   T 4 sm | discard       | Sold 1 card(s) for +1 CP (hand=6)
   T 4 sm | endOfTurn     | HP: self=28, opp=16


T 5 ===== TH turn — th HP16 CP0 mjolnir:away [electrokinesis:4] | vs sm HP28 CP2 (hand 4)
   T 5 th | income        | +1 CP, drew 1 card (hand=5)
   T 5 th | main1         | Played upgrade Hammered II for 0 CP
   T 5 th | roll          | Roll (relances restantes 2): [2,4,4,5,5]
   T 5 th | roll          | Roll (relances restantes 1): [1,2,4,5,6]
   T 5 th | roll          | Roll (relances restantes 0): [2,4,5,6,6]
   T 5 th | roll          | Final dice: 2,4,5,6,6
   T 5 th | resolveAttack | Chose ability: Mighty Summon (HWWT)
   T 5 th | resolveAttack | Mighty Summon: +2 Guard Break, Heal 2, Retrieve -> 3 collateral (+0 EK)
   T 5 th | main2         | Mjolnir shuttle (discarded he-is-worthy): 1 isolated undefendable dmg
   T 5 th | endOfTurn     | HP: self=18, opp=27


T 6 ===== SM turn — sm HP27 CP2 | vs th HP18 CP1 upg:1 mjolnir:away [electrokinesis:4 guardBreak:2] (hand 6)
   T 6 sm | income        | +1 CP, drew 1 card (hand=7)
   T 6 sm | main1         | Played upgrade Ensnare II for 2 CP
   T 6 sm | main1         | Played Double Up! for 1 CP (drew 2)
   T 6 sm | main1         | Cha-Ching!: +2 CP
   T 6 sm | main1         | Played upgrade Venom Punch II for 2 CP
   T 6 sm | roll          | Roll (relances restantes 2): [2,3,3,3,4]
   T 6 sm | roll          | Roll (relances restantes 1): [2,2,3,4,5]
   T 6 sm | roll          | Roll (relances restantes 0): [1,2,3,4,5]
   T 6 sm | roll          | Final dice: 1,2,3,4,5
   T 6 sm | resolveAttack | Chose ability: Ensnare (5-straight)
   T 6 sm | resolveAttack | Ensnare (large): drew 1
   T 6 sm | resolveAttack | Ensnare (5-straight): attack total 9 dmg
   T 6 sm | main2         | Played Getting Paid! for 0 CP (+2 CP)
   T 6 sm | roll          | So Wild!: set dice 3,5,3->3,1,3
   T 6 th | defense       | Defense dice: 3,1,3
   T 6 th | defense       | Thunder Wheel: prevented 0, 1 Mjolnir move(s), +0 EK
